,Species,TREE_ID,X_old,X,Y_old,Y,Year,logF_current
175,Quercus agrifolia,54595_4_111_6_2_305,-119.2917567,-119.2918567,34.5,34.5005,2010,2.312971481
176,Quercus agrifolia,54595_4_111_6_4_310,-119.2916667,-119.2916667,34.50002,34.50072,2010,1.65555643
177,Quercus agrifolia,54595_4_111_6_4_310,-119.2916967,-119.2918967,34.50006,34.50086,2020,1.493038241
178,Quercus agrifolia,54595_4_111_6_4_311,-119.2917567,-119.2924567,34.50002,34.50062,2020,1.711564841
179,Quercus agrifolia,54595_4_111_6_4_311,-119.2916867,-119.2921867,34.5,34.5006,2010,1.94943703
180,Quercus agrifolia,54725_4_41_6_4_124,-122.7083433,-122.7092433,38.12507,38.12587,2001,0.744723155
181,Quercus agrifolia,54725_4_41_6_4_124,-122.7083933,-122.7086933,38.12508,38.12598,2011,0.765996263
182,Quercus agrifolia,54725_4_41_6_4_124,-122.7083833,-122.7087833,38.12505,38.12505,2021,NA
183,Quercus agrifolia,54725_4_41_6_4_125,-122.7083933,-122.7092933,38.12509,38.12529,2001,0.904376042
184,Quercus agrifolia,54725_4_41_6_4_125,-122.7083533,-122.7088533,38.125,38.1258,2011,1.036190749
185,Quercus agrifolia,54725_4_41_6_4_125,-122.7083833,-122.7083833,38.12506,38.12526,2021,NA
186,Quercus agrifolia,54725_4_41_6_4_126,-122.7083733,-122.7089733,38.12504,38.12524,2001,0.853465766
187,Quercus agrifolia,54725_4_41_6_4_126,-122.7083333,-122.7088333,38.12508,38.12588,2011,0.855404317
188,Quercus agrifolia,54725_4_41_6_4_126,-122.7083533,-122.7089533,38.12504,38.12514,2021,NA
189,Quercus agrifolia,54725_4_41_6_4_127,-122.7084033,-122.7087033,38.12509,38.12599,2011,0.941564245
190,Quercus agrifolia,54725_4_41_6_4_127,-122.7083733,-122.7085733,38.12506,38.12546,2001,0.962529799
191,Quercus agrifolia,54725_4_41_6_4_127,-122.7083533,-122.7087533,38.125,38.1259,2021,NA
192,Quercus agrifolia,54725_4_41_6_4_128,-122.7083333,-122.7084333,38.12508,38.12538,2011,1.002609629
193,Quercus agrifolia,54725_4_41_6_4_128,-122.7083633,-122.7091633,38.12506,38.12576,2001,0.860321224
194,Quercus agrifolia,54725_4_41_6_4_128,-122.7083633,-122.7086633,38.12509,38.12599,2021,NA
195,Quercus agrifolia,54959_1_97_6_2_104,-122.75009,-122.75099,38.70835,38.70925,2008,2.481377738
196,Quercus agrifolia,54959_1_97_6_2_104,-122.75009,-122.75099,38.70841,38.70871,2018,2.090006064
197,Quercus agrifolia,54959_1_97_6_2_109,-122.75008,-122.75058,38.70834,38.70894,2008,2.004367956
198,Quercus agrifolia,54959_1_97_6_2_109,-122.75003,-122.75003,38.70839,38.70899,2018,1.450657
199,Quercus agrifolia,54959_1_97_6_2_302,-122.75009,-122.75099,38.70835,38.70845,2008,3.014465839
200,Quercus agrifolia,54959_1_97_6_2_302,-122.75003,-122.75093,38.70841,38.70931,2018,2.523363597
201,Quercus agrifolia,54959_1_97_6_3_115,-122.75007,-122.75017,38.7084,38.7086,2018,1.967769418
202,Quercus agrifolia,54959_1_97_6_3_115,-122.75,-122.7505,38.70833,38.70843,2008,2.533680963
203,Quercus agrifolia,54959_1_97_6_3_116,-122.75007,-122.75097,38.7084,38.7086,2008,1.928123225
204,Quercus agrifolia,54959_1_97_6_3_116,-122.75,-122.7509,38.70839,38.70899,2018,1.393083325
205,Quercus agrifolia,54959_1_97_6_3_118,-122.75006,-122.75066,38.70836,38.70856,2018,1.029658338
206,Quercus agrifolia,54959_1_97_6_3_118,-122.75004,-122.75064,38.70836,38.70916,2008,1.602573795
207,Quercus agrifolia,54959_1_97_6_3_119,-122.75006,-122.75016,38.70839,38.70899,2008,2.546026025
208,Quercus agrifolia,54959_1_97_6_3_119,-122.75008,-122.75038,38.70841,38.70871,2018,2.078804725
209,Quercus agrifolia,54959_1_97_6_3_120,-122.75002,-122.75062,38.70833,38.70883,2008,2.661782763
210,Quercus agrifolia,54959_1_97_6_3_120,-122.75009,-122.75079,38.70841,38.70891,2018,2.118477418
